"","comicName","comicSummary","comicGrade"
"125","청춘갱신","#사랑#우정#성장","9.73"
"126","능력안경","안경장르 만화","9.90"
"127","깜빡깜빡","반짝이의 일상","9.90"
"128","젤라유니버스","안젤라 일대기","9.87"
"129","미치광이맥","심부름꾼의 이야기","9.78"
"130","찔레꽃그너머","임진왜란과 서민의삶","9.86"
"131","무선혜드셋정보툰!!","잡상식을 재미있게","9.89"
"132","피지않는꽃","너, 귀신이 보여?","9.78"
"133","주름진사장님","노안 사장님의이야기","9.52"
"134","이딴여행","여행포토툰","9.75"
"135","방에콕!진댕","방에 콕! 일상툰","9.86"
"136","과학고생존일지","과학고에 간 문과생","9.78"
"137","체리블러드","액션X판타지X로맨스","9.56"
"138","우당탕탕재끼일상","부부,일상,공감","9.50"
"139","꿀꾸리?꿈꾸리!","중학생 꾸리일기-","8.56"
"140","일상견문록","다른나라 일상이야기","9.84"
"141","스물여섯","혼자 할 수 있어!","9.48"
"142","30일의시간여행","응답하라!80-90","9.33"
"143","로그아일","판타지 생존기","9.66"
"144","매그니피센트","위대한 우리들","9.76"
"145","폭렬!!극강초맹반","슈트액션무협포스","9.66"
"146","매지컬팡","명랑만화 매지컬팡","9.84"
"147","딴짓이제일재밌어","딴 짓 찾아 놀기","9.64"
"148","몽글툰","백수돼지는 게임중","9.74"
"149","엑스프렌즈","이별 사연 에피소드","9.84"
"150","재테크는스크루지","초보자용 재테크웹툰","9.79"
"151","누루누루음식만화","음식 탐닉 일상툰","9.89"
"152","양송부부의맛있는한잔","술이 있는 일상","9.80"
"153","촌스러운그들","촌스러운 그들","9.68"
"154","디플로마티코","스페이스 오페라","9.73"
"155","너와나의하늘색","웹툰창작 청춘로맨스","9.66"
"156","하나리즈","레즈비언 커플이야기","8.83"
"157","어둠의일상툰","어둠의 일상","9.68"
"158","게임에접속했습니다!","게임하는 고딩들","9.76"
"159","프라이머리컬러","게임회사 입사꿀팁!","9.76"
"160","쓰지만달콤해","성장 로맨스","9.16"
"161","뼈와재,불의이야기","격주 월요일 연재","8.93"
"162","마이데이","순정,학업로맨스","9.68"
"163","원스인어블루문","초능력은 거들 뿐","9.80"
"164","계약인싸","계약직 인싸","8.63"
"165","뿅가이","간다 간다 뿅간다","9.86"
"166","베텔게우스","별과 시간과 사람","9.30"
"167","로마의법칙","이태리 직장인 늘보","9.87"
"168","지나치게달콤한","알바생VS아이돌","9.85"
"169","거울속에비친유령","그 집에 얽힌 소문","9.75"
"170","너와나의몰디브","30대 연애와 결혼","9.41"
"171","제제와함께","장애아이와 형제","9.81"
"172","손안의너","정체불명 미니사이즈","9.88"
"173","주저드","동물 마법사 이야기","9.62"
"174","엑스트라Z씨","Z씨의 발버둥","9.90"
"175","전송","살아있을까","9.31"
"176","지나온길","학원 성장 드라마","9.36"
"177","라이즈(RISE)","너의 마력은 루시퍼","9.66"
"178","우리집강아지는복슬강아지","댕댕이와의 일상:3","9.89"
"179","괜찮아,고3이야","너와나의 리얼고3툰","9.90"
"180","런어웨이","초능력 소녀,그의 소유물이 되다","9.76"
"181","신세기단편동화","감성 스토리","9.88"
"182","지몽,선너머의나","운명조작히어로","9.57"
"183","의대생하루","의대생의 리얼 일상","9.13"
"184","사장님은떡뽀끼!","분식집 일상물","9.62"
"185","위닝샷!","청춘 야구 드라마","9.75"
"186","불손한친구들","불손한친구들 이야기","9.71"
"187","이루어지리다","청춘 성장 판타지","9.60"
"188","그래도하루는","희노애락 투병일기","9.87"
"189","홈스윗홈","네식구 사는 이야기","9.85"
"190","여기서한잔할래?","수달의 혼술툰","9.70"
