"","ntitle","ndate"
"70","“올 하반기 체감 구직난, 5년래 최악!”","2020.11.23"
"71","“직장인 10명 중 7명, 코로나로 바뀐 직장 생활 ‘긍정적’!”","2020.11.19"
"72","“기업 절반 이상, 지원자의 ‘외모’ 채용 평가에 영향 미쳐!”","2020.11.18"
"73","“기업 10곳 중 4곳, Z세대 신입사원 ‘불만족’”","2020.11.17"
"74","“구직자 평균 빚 3,019만원으로 지난해보다 758만원 증가!”","2020.11.16"
"75","""SK이노베이션 등 하반기 막바지 채용 소식!""","2020.11.13"
"76","“성인남녀 5명 중 2명, 사회적 거리두기로 인간관계 멀어져”","2020.11.13"
"77","“기업 75%, 포스트코로나 시대, HR 정책도 변화 필요!”","2020.11.11"
"78","“코로나19 때문에… 직장인 10명 중 4명 실직 압박 느낀다”","2020.11.10"
"79","“구직자 64%, 부모 능력이 자식 취업 성공에 영향 미친다!”","2020.11.09"
"80","구직자 60%, “은둔형 외톨이로 지내”… 코로나19와 취업난으로 무기력해져서","2020.11.05"
"81","“기업 10곳 중 6곳, 다시 돌아온 ‘연어족’ 직원 있다!”","2020.11.04"
"82","“당락을 좌우하는 지원자의 치명적인 서류전형 실수 1위는?""","2020.11.03"
"83","“직장인 10명 중 6명, 재직중인 회사 입사 후회해…만족도 50점 수준!”","2020.11.02"
"84","사람인 AI 솔루션이 알려주는 ‘언택트 채용’ 전략!","2020.10.30"
"85","“직장인 10명중 4명, ‘잘리지 않을까..’ 불안하다""","2020.10.30"
"86","직장인 96%, “직장생활에서 대화 기술 중요해!”","2020.10.27"
"87","“구직자 10명 중 7명, 취업 사교육 필요해!”","2020.10.26"
"88","“기업 10곳 중 6곳, 신입사원 연령 높아져”","2020.10.23"
"89","“기업 92%, 짧은 근속연수 지원자 NO…최소 3년이상 근속 지원자 선호!”","2020.10.21"
"90","“기업 54%, 채용 시 지원자 학벌 무시 못해”","2020.10.20"
"91","“기업 87.5%, 코로나19 이후 무인화 가속 → 고용은 더 줄어들 것”","2020.10.19"
"92","구직자 평균 13개 기업에 지원...합격률은 15% 남짓","2020.10.16"
"93","“직장인 10명중 7명, 나도 ‘동학개미’’","2020.10.16"
"94","“채용 시 면접비 지급 기업, 10곳 중 3곳에 그쳐...”","2020.10.13"
"95","기업 50.3%, 올 해 하반기 채용 미루거나 포기했다!","2020.10.12"
"96","“성인남녀 10명 중 6명, 한글 표기 어렵다!”","2020.10.08"
"97","“기업 10곳 중 6곳, MZ세대 ‘국어능력’ 낮아!”","2020.10.07"
"98","2030세대 54%, 결혼 NO, 5명 중 2명은 출산도 NO!","2020.10.06"
"99","2020년 기업 인턴 채용 ↑ 정규직 전환률 ↓","2020.10.06"
"100","사람인 기업정보 서비스 개편, 기업의 모든 것 한눈에!","2020.09.29"
"101","직장인 5명중 2명, ‘명절포비아’에 떨고 있다","2020.09.29"
"102","핵심인재 관리하는 기업, 지난해보다 늘었다!","2020.09.25"
"103","구직자 10명 중 9명, 온라인 채용 설명회 긍정적!","2020.09.23"
"104","구직자 5명 중 3명, 추석 연휴에도 ‘구직활동’할 것!","2020.09.22"
"105","성인남녀 63%, 취업난에 불경기까지…캥거루족은 어쩔 수 없는 현상","2020.09.22"
"106","언택트 채용 시대, ‘사람인 영상면접’ 서비스 선보여","2020.09.22"
"107","구직자 10명 중 4명, 취업에 유리한 성별 있다!","2020.09.22"
"108","코로나 시대의 추석, 직장인 10명 중 6명 고향 안 간다!","2020.09.22"
"109","성인남녀 2명중 1명, ‘내 집 마련’ 이번 생엔 불가능","2020.09.22"
"110","코로나19에 ‘풍성한 한가위’ 옛 말, 기업 추석 상여금 역대 최저!","2020.09.14"
"111","사람인HR, 자사 채용 솔루션 ‘등용문’에 업계 최초 블록체인 기술 적용","2020.09.11"
"112","직장인 10명 중 7명, 더 많은 수입 위해 ‘N잡러’ 원해!","2020.09.09"
"113","기업 10곳 중 8곳, 코로나 재유행 시 타격 있다!","2020.09.09"
"114","기업 83%, ‘고스팅’ 지원자 있어…밀레니얼 세대에서 늘었다!","2020.09.07"
